Name,Id,AnA,CanBeSpawned,Tag1,Tag2,SizeH,Prerequisite,StoryOnCreate,StoryOnUse,StoryOnPickUp,ActionAutoTriggerFunction,AutoTriggered,ActionOnGroundName,ActionOnGroundFunction,CanPickUp,ActionInBagName,ActionInBagFunction,Speed,Durability,RecoverHP,Attack,DemageToPlayer
camel,53,a ,,Terrestrial Animals,,150,,,"You're riding a camel! Moving speed increased by 50%, and you are able to ride it in the desert!",,,,Ride,Ride,,,,150,,,,
cow,80,a ,,Terrestrial Animals,,150,,Mou~~,You're riding a cow! Moving speed increased by 20%.,,,,Ride,Ride,,,,120,,,,
giraffe,128,a ,,Terrestrial Animals,,300,,,You're riding a giraffe! Moving speed increased by 50%.,,,,Ride,Ride,,,,150,,,,
horse,146,a ,,Terrestrial Animals,,150,,,You're riding a horse! Moving speed increased by 150%.,,,,Ride,Ride,,,,250,,,,
zebra,338,a ,,Terrestrial Animals,,150,,,You're riding a zebra! Moving speed increased by 150%.,,,,Ride,Ride,,,,250,,,,
elephant,102,an ,,Terrestrial Animals,,200,,,You're riding an elephant! Moving speed increased by 150%.,,,,Ride,Ride,,,,250,,,,
bench,27,a ,,Furnitures,,30,,Class Default,"You’re sitting on the bench. \n I know you think it’s weird because you think you are standing. But trust me, you are sitting on the bench.",,,,Sit,Sit,,,,,,,,
banana,12,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
blackberry,32,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
blueberry,33,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
bread,40,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
cake,50,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
cookie,77,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
donut,92,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
hamburger,134,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,20,,
hot dog,149,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
lollipop,174,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,5,,
peanut,211,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
pear,212,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
pizza,222,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,30,,
popsicle,227,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
sandwich,244,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
steak,280,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
strawberry,286,a ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
apple,7,an ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
asparagus,9,an ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
ice cream,155,an ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,20,,
grapes,131,some ,,Foods,,10,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
pineapple,221,a ,,Foods,,15,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,10,,
watermelon,329,a ,,Foods,,20,,,Yummy~,Recover HP when eat.,,,,,1,Eat,Eat,,1,20,,
canoe,59,a ,,Ships,,100,,,Across River,,,,Across River,AcrossRiver,,,,,,,,
cruise ship,85,a ,,Ships,,100,,,Across River,,,,Across River,AcrossRiver,,,,,,,,
sailboat,243,a ,,Ships,,100,,,Across River,,,,Across River,AcrossRiver,,,,,,,,
speedboat,271,a ,,Ships,,100,,,Across River,,,,Across River,AcrossRiver,,,,,,,,
submarine,289,a ,,Ships,,100,,,Across River,,,,Across River,AcrossRiver,,,,,,,,
toaster,308,a ,,Furnitures,,20,,,Allow Cook,,,,Allow Cook,AllowCook,,,,,,,,
house plant,153,a ,,Plants,,30,,,Change Environment,,,,Change Environment,ChangeEnvironment,,,,,,,,
diving board,89,a ,,Environmental,,30,,You installed a diving board. But is there a pool?,Jump in,,,,Jump in,Diving,,,,,,,,
castle,62,a ,,Buildings,,200,,"Hey, don't abuse you power.",Can’t Create,,,,Can’t Create,DoNothing,,,,,,,,
mermaid,180,a ,,Marine Animals,,100,,,Golden Pencil,,,,Golden Pencil,GoldenPencil,,,,,,,,
baseball,15,a ,,Artifacts,,10,,,Kick,"I don’t know what to do with it, perhaps throw it to enemy?",,,Kick,Kick,1,Throw,Throw,,1,,5,
basketball,18,a ,,Artifacts,,30,,,Kick,"I don’t know what to do with it, perhaps throw it to enemy?",,,Kick,Kick,1,Throw,Throw,,1,,5,
soccer ball,269,a ,,Artifacts,,30,,,Kick,"I don’t know what to do with it, perhaps throw it to enemy?",,,Kick,Kick,1,Throw,Throw,,1,,5,
chandelier,68,a ,,Electrical,,20,,This thing needs electricity.,Light Up,,,,Light Up,LightUp,,,,,,,,
moon,184,a ,,Environmental,Filtered,1,,"Nothing happened, I guess there can’t be two moons in the sky.",Picture,,,,Picture,Picture,,,,,,,,
garden,126,a ,,Environmental,Filtered,50,,A small beautiful garden.,Picture,,,,Picture,Picture,,,,,,,,
mailbox,175,a ,,Tools,,50,,,Read Mail,,,,Read Mail,ReadMail,,,,,,,,
skyscraper,261,a ,,Buildings,,200,,"Hey, don't abuse you power.",Sleep,,,,Sleep,Sleep,,,,,,,,
pillow,220,a ,,Furnitures,,20,,Sleep better with a nice pillow.,Sleep,,,,Sleep,Sleep,,,,,,,,
grass,132,a ,,Plants,,20,,,Sleep,,,,Sleep,Sleep,,,,,,,,
flower,120,a ,,Plants,,30,,,Smell,,,,Smell,Smell,,,,,,,,
stereo,281,a ,,Electrical,,30,,,Use,,,,Use,Use,,,,,3,,,
toothbrush,312,a ,,Tools,,10,,,Brush Teeth,Keeping clean is important in the wild.,,,,,1,Brush Teeth,BrushTeeth,,5,,,
shovel,257,a ,,Tools,,50,,,Dig,"Cool weapon, and it also can dig.",,,,,1,Dig,Dig,,,,30,
coffee,74,a ,,Beverages,,10,,Coffee! My favorite!,Drink ,Drink this can keep me energetic and hydrated.,,,,,1,Drink ,Drink ,,1,15,,
cup of water,86,a ,,Beverages,,10,,Water is always good for me.,Drink ,Drink this can keep me hydrated.,,,,,1,Drink ,Drink ,,1,15,,
mug of water,191,a ,,Beverages,,10,,Water is always good for me.,Drink ,Drink this can keep me hydrated.,,,,,1,Drink ,Drink ,,1,15,,
pot of tea,298,a ,,Beverages,,10,,I like tea.,Drink ,Drink this can keep me energetic and hydrated.,,,,,1,Drink ,Drink ,,1,15,,
bracelet,38,a ,,Jewelries,,10,,✪ω✪,Gift,,,,,,1,Gift,Gift,,1,,,
crown,84,a ,,Jewelries,,10,,✪ω✪,Gift,,,,,,1,Gift,Gift,,1,,,
diamond,87,a ,,Jewelries,,10,,✪ω✪,Gift,,,,,,1,Gift,Gift,,1,,,
necklace,194,a ,,Jewelries,,10,,✪ω✪,Gift,,,,,,1,Gift,Gift,,1,,,
wheel,332,a ,,Tools,,20,,,Kick,,,,,,,Kick,Kick,,5,,30,
eraser,104,an ,,Tools,,10,,,Remove Last Stroke,"When sketching, I can remove a stroke with this.",,,,,1,Remove Last Stroke,RemoveLastStroke,,5,,,
screwdriver,250,a ,,Tools,,10,,,Stab,"No screw to drive, but I can stab enemy with it.",,,,,1,Stab,Stab,,5,,30,
spoon,273,a ,,Tools,,10,,,Stab,I can stab enemy with it.,,,,,1,Stab,Stab,,5,,10,
snorkel,266,a ,,Tools,,10,,,Swim,Swimming made easier.,,,,,1,Swim,Swim,,5,,,
bottlecap,36,a ,,Artifacts,,10,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,,,1,
leaf,165,a ,,Artifacts,,10,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,1,
passport,210,a ,,Artifacts,,10,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,2,
purse,231,a ,,Artifacts,,10,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
The Eiffel Tower,304,a ,,Artifacts,,10,,A magnet souvenir of Eiffel Tower.,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
The Great Wall of China,305,a ,,Artifacts,,10,,A magnet souvenir of The Great Wall.,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
dumbbell,99,a ,,Artifacts,,15,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,30,
feather,109,a ,,Artifacts,,20,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,1,
postcard,228,a ,,Artifacts,,20,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,2,
envelope,103,an ,,Artifacts,,20,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,1,
teddy-bear,299,a ,,Artifacts,,30,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
vase,326,a ,,Artifacts,,40,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
picture frame,218,a ,,Artifacts,,60,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,10,
The Mona Lisa,306,a ,,Artifacts,,60,,,Throw,"I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Throw,Throw,,1,,5,
paper clip,207,a ,,Tools,,10,,,Throw,I’ve no idea where to use this.,,,,,1,Throw,Throw,,5,,1,
hockey puck,144,a ,,Tools,,10,,,throw,I can beat enemy with it.,,,,,1,throw,throw,,5,,40,
anvil,6,an ,,Tools,,20,,,Throw,It’s heavy.,,,,,1,Throw,Throw,,5,,50,
bandage,13,a ,,Tools,,10,,,Use,First aid tool.,,,,,1,Use,FirstAid,,1,60,,
remote control,238,a ,,Tools,,10,,,Use,"A remote control, seems the only usage is throwing toward enemies.",,,,,1,Use,TryUseButNotWorking,,5,,,
axe,10,an ,,Tools,,50,,,Use,I can cut things with this.,,,,,1,Use,Swing,,5,,60,
sun,291,a ,,Environmental,,20,,"Nothing happened, I guess there can’t be two suns in the sky.",,,,,,,,,,,,,,
smiley face,263,a ,,No Effect,,1,,Class Default,,,,,,,,,,,,,,
circle,70,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
hexagon,143,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
line,170,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
spreadsheet,274,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
square,275,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
squiggle,276,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
triangle,319,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
zigzag,339,a ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
octagon,197,an ,,Abstract,Filtered,1,,,,,,,,,,,,,,,,
helicopter,141,a ,,Aviations,,300,,I get a HELICOPTER but you don't know how to pilot.,,,,,,,,,,,,,,
airplane,0,an ,,Aviations,,300,,I get an AIRPLANE but you don't know how to pilot.,,,,,,,,,,,,,,
beard,23,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
finger,111,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
goatee,129,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
hand,136,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
knee,161,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
moustache,189,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
mouth,190,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
nose,195,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
toe,309,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
tooth,311,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
ear,100,an ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
eye,105,an ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
brain,39,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
foot,122,a ,,Body Parts,Filtered,10,,,,,,,,,,,,,,,,
face,107,a ,,Body Parts,Filtered,20,,,,,,,,,,,,,,,,
elbow,101,an ,,Body Parts,Filtered,20,,,,,,,,,,,,,,,,
leg,166,a ,,Body Parts,Filtered,40,,,,,,,,,,,,,,,,
arm,8,an ,,Body Parts,Filtered,40,,,,,,,,,,,,,,,,
roller coaster,241,a ,,Environmental,,20,,"A roller coaster in the middle of nowhere, and, no operator.",,,,,,,,,,,,,,
sink,258,a ,,Furnitures,,30,,,,,,,,,,,,,,,,
cactus,49,a ,,Plants,,50,,,,,,,,,,,,,,,,
bus,46,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
car,60,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
firetruck,114,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
school bus,247,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
tractor,315,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
train,317,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
truck,321,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
van,325,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
bulldozer,45,a ,,Vehicles,,100,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
pickup truck,217,a ,,Vehicles,,120,,,I can’t drive it.,,,,Drive,CannotDrive,,,,,,,,
camouflage,55,a ,,No Effect,Filtered,1,,,,,,,,,,,,,,,,
stitches,283,a ,,No Effect,Filtered,1,,,,,,,,,,,,,,,,
yoga,337,a ,,No Effect,Filtered,1,,,,,,,,,,,,,,,,
animal migration,4,an ,,No Effect,Filtered,1,,,,,,,,,,,,,,,,
cat,63,a ,,No Effect,,1,,You can only make new cat after you're married.,,,,,,,,,,,,,,
dog,90,a ,,No Effect,,1,,"Dogs are residence in this world, it's illegal to spawn a dog.",,,,,,,,,,,,,,
